scenario,variant,cpu,n,p50_INP_ms,p75_INP_ms,loaf_sum_median,loaf_any_pct
form,I2+I3+I4,8.0,15,24.0,32.0,4448.115,0.0
form,I2+I4,2.0,15,24.0,32.0,1355.6009999761582,0.0
form,I2+I4,4.0,15,24.0,28.0,2359.755,0.0
form,I2+I4,6.0,15,24.0,24.0,3373.043999988079,0.0
form,I2+I4,8.0,15,32.0,40.0,4556.899999976158,0.0
form,I3,2.0,15,1144.0,1172.0,2446.400000035763,0.0
form,I3,4.0,15,2280.0,2304.0,4695.899999976158,0.0
form,I3,6.0,15,3392.0,3404.0,6844.099999964237,0.0
form,I3,8.0,15,4464.0,4524.0,8968.300000011921,0.0
form,I3+I4,2.0,15,1128.0,1144.0,2419.7000000476837,0.0
form,I3+I4,4.0,15,2240.0,2252.0,4596.899999976158,0.0
form,I3+I4,6.0,15,3384.0,3472.0,6846.399999976158,0.0
form,I3+I4,8.0,15,4576.0,4592.0,9284.300000011921,0.0
form,I4,2.0,15,1136.0,1156.0,2426.3999999165535,0.0
form,I4,4.0,15,2240.0,2264.0,4591.1000000834465,0.0
form,I4,6.0,15,3304.0,3320.0,6676.600000023842,0.0
form,I4,8.0,15,4576.0,4892.0,9232.300000011921,0.0
