scenario,variant,rep,cpu,INP,INP_W,INP_H,INP_R,LoAFsum,LoAFcount,LoAFsum_500ms,LoAFcount_500ms,LoAFany_500ms,source_dir
form,I1,3,2.0,1128,0.699999988079071,1108.5,18.80000001192093,2393.5,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,4,2.0,1128,0.6000000238418579,1109.199999988079,18.19999998807907,2385.6999999284744,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,5,2.0,1136,0.6000000238418579,1111.5,23.899999976158142,2410.300000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,6,2.0,1144,0.9000000357627869,1121.8999999761581,21.19999998807907,2429.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,7,2.0,1208,1.199999988079071,1181.0,25.80000001192093,2502.699999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,8,2.0,1120,0.699999988079071,1101.6000000238419,17.69999998807907,2391.199999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,9,2.0,1144,0.6000000238418579,1119.5,23.899999976158142,2434.199999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,10,2.0,1112,0.6000000238418579,1087.5999999642372,23.80000001192093,2388.0,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,11,2.0,1104,0.7000000476837158,1082.0,21.299999952316284,2369.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,12,2.0,1104,0.7999999523162842,1082.0,21.200000047683716,2368.900000035763,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,13,2.0,1120,0.800000011920929,1096.4000000357628,22.799999952316284,2393.899999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,14,2.0,1184,0.699999988079071,1157.5999999642372,25.700000047683716,2501.5,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I1,15,2.0,1120,0.6000000238418579,1103.8999999761581,15.5,2410.5,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,1,2.0,32,0.800000011920929,0.0,31.19999998807907,1271.949999976158,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,2,2.0,32,0.3999999761581421,0.0,31.600000023841858,1332.4890000238418,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,3,2.0,24,0.800000011920929,0.0,23.19999998807907,1355.6009999761582,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,4,2.0,32,0.699999988079071,0.0,31.30000001192093,2384.450000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,5,2.0,24,0.5999999642372131,0.0,23.400000035762787,2350.477999964237,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,6,2.0,24,0.5,0.0,23.5,1284.9189999880791,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,7,2.0,32,0.5,0.0,31.5,1337.9639999761582,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,8,2.0,24,0.40000003576278687,0.0,23.599999964237213,2356.420000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,9,2.0,24,0.699999988079071,0.0,23.30000001192093,1289.9660000119209,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,10,2.0,24,0.8999999761581421,0.0,23.100000023841858,1276.714000023842,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,11,2.0,24,0.699999988079071,0.0,23.30000001192093,2351.4220000357627,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,12,2.0,24,1.0,0.0,23.0,2321.264000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,13,2.0,32,0.6000000238418579,0.0,31.399999976158142,1272.7929999642372,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,14,2.0,24,0.7999999523162842,0.0,23.200000047683716,2356.0109999642373,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I4,15,2.0,24,0.5,0.0,23.5,2328.2860000357628,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,1,2.0,1128,0.7999999523162842,1104.4000000357628,22.80000001192093,2377.9999999403954,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,2,2.0,1088,0.5,1067.0,20.5,2327.600000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,3,2.0,1128,1.100000023841858,1106.300000011921,20.599999964237213,2398.1999999284744,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,4,2.0,1128,0.699999988079071,1109.0,18.30000001192093,2422.400000035763,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,5,2.0,1104,0.6000000238418579,1084.3999999761581,19.0,2360.7999998927116,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,6,2.0,1120,0.800000011920929,1093.699999988079,25.5,2391.900000035763,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,7,2.0,1120,0.800000011920929,1098.300000011921,20.899999976158142,2402.7999998927116,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,8,2.0,1200,0.5,1182.0,17.5,2501.600000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,9,2.0,1112,0.9000000357627869,1087.800000011921,23.299999952316284,2371.899999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,10,2.0,1112,0.699999988079071,1094.1000000238419,17.19999998807907,2403.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,11,2.0,1168,0.5999999642372131,1142.1000000238419,25.30000001192093,2484.899999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,12,2.0,1120,0.699999988079071,1096.6000000238419,22.69999998807907,2417.400000035763,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,13,2.0,1120,0.800000011920929,1095.5,23.69999998807907,2396.600000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,14,2.0,1136,0.699999988079071,1111.1000000238419,24.19999998807907,2448.0000000596046,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,B0,15,2.0,1144,0.800000011920929,1114.3999999761581,28.80000001192093,2432.300000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,1,2.0,1120,0.699999988079071,1096.3999999761581,22.900000035762787,2426.4000000953674,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,2,2.0,1152,0.699999988079071,1127.699999988079,23.600000023841858,2460.2999999523163,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,3,2.0,1104,0.699999988079071,1081.0999999642372,22.200000047683716,2369.099999964237,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,4,2.0,1136,0.699999988079071,1111.9000000357628,23.399999976158142,2423.5999999046326,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,5,2.0,1376,0.699999988079071,1353.699999988079,21.600000023841858,2917.5,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,6,2.0,1112,0.699999988079071,0.0,1111.300000011921,2416.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,7,2.0,1128,0.5999999642372131,1104.800000011921,22.600000023841858,2415.1999999284744,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,8,2.0,1112,0.7000000476837158,1093.8999999761581,17.399999976158142,2391.5,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,9,2.0,1120,0.7999999523162842,1095.2000000476837,24.0,2418.100000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,10,2.0,1160,0.800000011920929,1136.5999999642372,22.600000023841858,2466.8000000715256,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,11,2.0,1344,0.699999988079071,1327.800000011921,15.5,2877.7999999523163,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,12,2.0,1144,0.6000000238418579,1119.0,24.399999976158142,2426.3999999165535,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,13,2.0,1120,0.699999988079071,1099.4000000357628,19.899999976158142,2421.199999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,14,2.0,1360,0.800000011920929,1337.1000000238419,22.099999964237213,2892.100000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I4,15,2.0,1152,0.699999988079071,1128.199999988079,23.100000023841858,2450.9999999403954,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,1,2.0,1128,0.5999999642372131,1106.2000000476837,21.19999998807907,2419.7000000476837,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,2,2.0,1152,0.699999988079071,1132.800000011921,18.5,2426.399999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,3,2.0,1112,0.800000011920929,1095.0,16.19999998807907,2384.600000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,4,2.0,1112,0.5999999642372131,1087.5,23.900000035762787,2379.0,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,5,2.0,1152,0.5999999642372131,1127.1000000238419,24.30000001192093,2430.699999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,6,2.0,1120,0.800000011920929,1099.5,19.69999998807907,2411.899999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,7,2.0,1120,0.5,1098.5,21.0,2403.899999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,8,2.0,1128,0.800000011920929,1108.699999988079,18.5,2421.300000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,9,2.0,1120,0.7000000476837158,1096.0999999642372,23.19999998807907,2402.399999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,10,2.0,1120,0.699999988079071,1100.800000011921,18.5,2402.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,11,2.0,1136,0.699999988079071,1118.5,16.80000001192093,2467.399999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,12,2.0,1136,0.40000003576278687,1115.0,20.599999964237213,2421.2999999523163,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,13,2.0,1160,0.7000000476837158,1139.199999988079,20.099999964237213,2461.399999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,14,2.0,1160,0.699999988079071,1133.800000011921,25.5,2478.5,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3+I4,15,2.0,1120,0.699999988079071,1098.1000000238419,21.19999998807907,2403.400000035763,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,1,2.0,24,0.5999999642372131,0.0,23.400000035762787,1298.3250000476837,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,2,2.0,32,0.5,0.0,31.5,2374.435000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,3,2.0,24,0.8999999761581421,0.0,23.100000023841858,2321.1440000000002,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,4,2.0,24,0.800000011920929,0.0,23.19999998807907,1306.761000023842,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,5,2.0,24,0.699999988079071,0.0,23.30000001192093,2351.307000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
