scenario,cpu,baseline,optimized,n_baseline,n_optimized,U,p_value,p_value_holm,AUC_prob_opt_lt_base,cliffs_delta
form,2.0,B0,I3+I4,15,15,130.0,0.7763452252532348,1.0,0.5777777777777777,0.22666666666666666
form,2.0,B0,I4,15,15,143.0,0.9027561888688687,1.0,0.6355555555555555,0.28
form,4.0,B0,I1,15,15,36.0,0.0007528438353011956,0.0030113753412047825,0.16,0.7955555555555556
form,4.0,B0,I2,15,15,0.0,1.0409951807027694e-06,5.5191455848632125e-06,0.0,1.0
form,4.0,B0,I2+I3,15,15,0.0,6.246527243377034e-07,4.997221794701627e-06,0.0,1.0
form,4.0,B0,I2+I3+I4,15,15,0.0,7.768309661469452e-07,5.437816763028617e-06,0.0,1.0
form,4.0,B0,I2+I4,15,15,0.0,9.198575974772021e-07,5.5191455848632125e-06,0.0,1.0
form,4.0,B0,I3,15,15,107.5,0.4257954878945027,0.4257954878945027,0.4777777777777778,0.5422222222222223
form,4.0,B0,I3+I4,15,15,59.5,0.014394223124313309,0.028788446248626618,0.2644444444444444,0.7555555555555555
form,4.0,B0,I4,15,15,55.0,0.008892674084578172,0.026678022253734515,0.24444444444444444,0.7777777777777778
form,6.0,B0,I1,15,15,224.0,0.9999984941682716,1.0,0.9955555555555555,-0.9911111111111112
form,6.0,B0,I2,15,15,0.0,1.0297162046433283e-06,7.208013432503298e-06,0.0,1.0
form,6.0,B0,I2+I3,15,15,0.0,1.0581063696758897e-06,7.208013432503298e-06,0.0,1.0
form,6.0,B0,I2+I3+I4,15,15,0.0,1.0297162046433283e-06,7.208013432503298e-06,0.0,1.0
form,6.0,B0,I2+I4,15,15,0.0,4.6998230818273157e-07,3.7598584654618525e-06,0.0,1.0
form,6.0,B0,I3,15,15,172.5,0.9941291785112929,1.0,0.7666666666666667,-0.14222222222222222
form,6.0,B0,I3+I4,15,15,173.5,0.9947797909095505,1.0,0.7711111111111111,-0.14222222222222222
form,6.0,B0,I4,15,15,89.0,0.16613734501483013,0.6645493800593205,0.39555555555555555,0.4666666666666667
form,8.0,B0,I1,15,15,89.5,0.1749411561845805,0.5248234685537415,0.3977777777777778,0.48444444444444446
form,8.0,B0,I2,15,15,0.0,1.2036101474116068e-06,8.958802008917848e-06,0.0,1.0
form,8.0,B0,I2+I3,15,15,0.0,1.197232403476903e-06,8.958802008917848e-06,0.0,1.0
form,8.0,B0,I2+I3+I4,15,15,0.0,1.119850251114731e-06,8.958802008917848e-06,0.0,1.0
form,8.0,B0,I2+I4,15,15,0.0,1.3233247918064833e-06,8.958802008917848e-06,0.0,1.0
form,8.0,B0,I3,15,15,43.0,0.00209441664514087,0.00837766658056348,0.19111111111111112,0.8088888888888889
form,8.0,B0,I3+I4,15,15,101.5,0.33083164345109584,0.6616632869021917,0.45111111111111113,0.4444444444444444
form,8.0,B0,I4,15,15,110.0,0.4667283514543551,0.6616632869021917,0.4888888888888889,0.5377777777777778
